file,neuroc_link,url,out_file,command
getting_ready_for_submission,neuroc-help-getting-ready-for-submission,https://raw.githubusercontent.com/muschellij2/neuroc/master/getting_ready_for_submission/index_notoc.html,getting_ready_for_submission.html,wget -O getting_ready_for_submission.html https://raw.githubusercontent.com/muschellij2/neuroc/master/getting_ready_for_submission/index_notoc.html
continuous_integration,neuroc-help-continuous-integration,https://raw.githubusercontent.com/muschellij2/neuroc/master/continuous_integration/index_notoc.html,continuous_integration.html,wget -O continuous_integration.html https://raw.githubusercontent.com/muschellij2/neuroc/master/continuous_integration/index_notoc.html
faq,neuroc-help-faq,https://raw.githubusercontent.com/muschellij2/neuroc/master/faq/index_notoc.html,faq.html,wget -O faq.html https://raw.githubusercontent.com/muschellij2/neuroc/master/faq/index_notoc.html
installing_devtools,neuroc-help-installing-devtools,https://raw.githubusercontent.com/muschellij2/neuroc/master/installing_devtools/index_notoc.html,installing_devtools.html,wget -O installing_devtools.html https://raw.githubusercontent.com/muschellij2/neuroc/master/installing_devtools/index_notoc.html
installing_ANTsR,neuroc-help-installing-ANTsR,https://raw.githubusercontent.com/muschellij2/neuroc/master/installing_ANTsR/index_notoc.html,installing_ANTsR.html,wget -O installing_ANTsR.html https://raw.githubusercontent.com/muschellij2/neuroc/master/installing_ANTsR/index_notoc.html
nifti_basics,neuroc-help-nifti-basics,https://raw.githubusercontent.com/muschellij2/neuroc/master/nifti_basics/index_notoc.html,nifti_basics.html,wget -O nifti_basics.html https://raw.githubusercontent.com/muschellij2/neuroc/master/nifti_basics/index_notoc.html
neurohcp,neuroc-help-neurohcp,https://raw.githubusercontent.com/muschellij2/neuroc/master/neurohcp/index_notoc.html,neurohcp.html,wget -O neurohcp.html https://raw.githubusercontent.com/muschellij2/neuroc/master/neurohcp/index_notoc.html
fcp_indi,neuroc-help-fcp-indi,https://raw.githubusercontent.com/muschellij2/neuroc/master/fcp_indi/index_notoc.html,fcp_indi.html,wget -O fcp_indi.html https://raw.githubusercontent.com/muschellij2/neuroc/master/fcp_indi/index_notoc.html
brain_extraction,neuroc-help-brain-extraction,https://raw.githubusercontent.com/muschellij2/neuroc/master/brain_extraction/index_notoc.html,brain_extraction.html,wget -O brain_extraction.html https://raw.githubusercontent.com/muschellij2/neuroc/master/brain_extraction/index_notoc.html
tissue_class_segmentation,neuroc-help-tissue-class-segmentation,https://raw.githubusercontent.com/muschellij2/neuroc/master/tissue_class_segmentation/index_notoc.html,tissue_class_segmentation.html,wget -O tissue_class_segmentation.html https://raw.githubusercontent.com/muschellij2/neuroc/master/tissue_class_segmentation/index_notoc.html
label_image,neuroc-help-label-image,https://raw.githubusercontent.com/muschellij2/neuroc/master/label_image/index_notoc.html,label_image.html,wget -O label_image.html https://raw.githubusercontent.com/muschellij2/neuroc/master/label_image/index_notoc.html
preprocess_mri_within,neuroc-help-preprocess-mri-within,https://raw.githubusercontent.com/muschellij2/neuroc/master/preprocess_mri_within/index_notoc.html,preprocess_mri_within.html,wget -O preprocess_mri_within.html https://raw.githubusercontent.com/muschellij2/neuroc/master/preprocess_mri_within/index_notoc.html
cortical_thickness,neuroc-help-cortical-thickness,https://raw.githubusercontent.com/muschellij2/neuroc/master/cortical_thickness/index_notoc.html,cortical_thickness.html,wget -O cortical_thickness.html https://raw.githubusercontent.com/muschellij2/neuroc/master/cortical_thickness/index_notoc.html
fmri_analysis_ANTsR,neuroc-help-fmri-analysis-ANTsR,https://raw.githubusercontent.com/muschellij2/neuroc/master/fmri_analysis_ANTsR/index_notoc.html,fmri_analysis_ANTsR.html,wget -O fmri_analysis_ANTsR.html https://raw.githubusercontent.com/muschellij2/neuroc/master/fmri_analysis_ANTsR/index_notoc.html
fmri_analysis_fslr,neuroc-help-fmri-analysis-fslr,https://raw.githubusercontent.com/muschellij2/neuroc/master/fmri_analysis_fslr/index_notoc.html,fmri_analysis_fslr.html,wget -O fmri_analysis_fslr.html https://raw.githubusercontent.com/muschellij2/neuroc/master/fmri_analysis_fslr/index_notoc.html
fmri_analysis_spm12r,neuroc-help-fmri-analysis-spm12r,https://raw.githubusercontent.com/muschellij2/neuroc/master/fmri_analysis_spm12r/index_notoc.html,fmri_analysis_spm12r.html,wget -O fmri_analysis_spm12r.html https://raw.githubusercontent.com/muschellij2/neuroc/master/fmri_analysis_spm12r/index_notoc.html
DTI_analysis_fslr,neuroc-help-DTI-analysis-fslr,https://raw.githubusercontent.com/muschellij2/neuroc/master/DTI_analysis_fslr/index_notoc.html,DTI_analysis_fslr.html,wget -O DTI_analysis_fslr.html https://raw.githubusercontent.com/muschellij2/neuroc/master/DTI_analysis_fslr/index_notoc.html
DTI_analysis_rcamino,neuroc-help-DTI-analysis-rcamino,https://raw.githubusercontent.com/muschellij2/neuroc/master/DTI_analysis_rcamino/index_notoc.html,DTI_analysis_rcamino.html,wget -O DTI_analysis_rcamino.html https://raw.githubusercontent.com/muschellij2/neuroc/master/DTI_analysis_rcamino/index_notoc.html
ms_lesion,neuroc-help-ms-lesion,https://raw.githubusercontent.com/muschellij2/neuroc/master/ms_lesion/index_notoc.html,ms_lesion.html,wget -O ms_lesion.html https://raw.githubusercontent.com/muschellij2/neuroc/master/ms_lesion/index_notoc.html
